title,rating,description,release_date,genre,casts,duration,country,production,m_link
Bosch & Rockit,7.7,"As Rockit grapples to understand why his Mum’s not coming home, he embarks on a magical holiday with his father, Bosch, only to discover they’re actually running from the law. Rockit finds a soulmate and then teenage love with Ash Ash, but it’s the ocean that gives him the security and calm he yearns from his parents. Ultimately Rockit is a boy nurtured and held by nature.",2022-08-18,Drama,"['Savannah La Rain', 'Leeanna Walsman', 'Luke Hemsworth', 'Martin Sacks', 'Isabel Lucas']",105,Australia,"['Black Pearl Productions', 'Sunshine Bear Films']",https://cineb.net/movie/watch-bosch-rockit-free-89350
Usogui,5.8,"Madarame Baku is a mysterious gambler. His nickname is Usogui (literally The Lie Eater). Club Kakerou is the top illegal gambling den, where gamblers vie to become the best in their profession. Seeing through the lies of others, Madarame Baku challenges a variety of high stakes games at Club Kakerou.",2022-02-11,Thriller,"['Shohei Miura', 'Kanata Hongo', 'Mai Shiraishi', 'Kaito Sakurai', 'Hayato Sano']",119,Japan,['Warner Bros. Japan'],https://cineb.net/movie/watch-usogui-free-89341
The Game,7.2,"During the Cold War, the secret service of Kádár began a more dangerous state security game than ever before.",2022-06-09,Drama,"['Ákos Orosz', 'Zsolt Nagy', 'Viktória Staub', 'Péter Scherer', 'János Kulka']",112,Hungary,['Film Positive Productions'],https://cineb.net/movie/watch-the-game-free-89338
Nostalgia,6.7,"Felice Lasco returns to the Sanità district to look after his sick and dying mother after 45 years spent between the Middle East and Africa. In Naples he waits to meet Oreste, a friend of the past, who has become a criminal.",2022-09-13,Drama,"['Nello Mascia', 'Emanuele Palumbo', 'Tommaso Ragno', 'Daniela Ioia', 'Artem Tkachuk']",117,Italy,"['Mad Entertainment', 'Medusa Film', 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'Picomedia', 'Rosebud Entertainment Pictures']",https://cineb.net/movie/watch-nostalgia-free-89335
The School for Good and Evil,5.8,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,2022-10-19,Fantasy,"['Michelle Yeoh', 'Charlize Theron', 'Kit Young', 'Sofia Wylie', 'Briony Scarlett']",146,United States of America,['Feigco Entertainment'],https://cineb.net/movie/watch-the-school-for-good-and-evil-free-89332
The Stranger,6.6,"Two men who meet on a bus and strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true.",2022-09-30,Crime,"['Alan Dukes', 'Simon Elrahi', 'Fletcher Humphrys', 'Joel Edgerton', 'Jada Alberts']",117,Australia,"['South Australian Film Corporation', 'See-Saw Films', 'Screen Australia', 'Anonymous Content']",https://cineb.net/movie/watch-the-stranger-free-89329
Mama's Boy,7.5,"Traveling back to the places where he grew up, Dustin Lance Black explores his childhood roots, gay identity and close relationship with his mother, who overcame childhood polio, abusive marriages and Mormon dogma, while becoming Black’s emotional rock and, ultimately, the inspiration for his activism. With a wealth of personal photographs and candid memories from Black’s family, colleagues, and friends, this documentary embraces the personal to tell a universally hopeful tale of resilience and reconciliation through the power of love and shared stories.",2022-10-18,Documentary,"['Dustin Lance Black', 'Paris Barclay', 'Tom Daley']",102,United States of America,"['Nedland Media', 'Playtone', 'Liddell Entertainment', 'Amblin Television']",https://cineb.net/movie/watch-mamas-boy-free-89326
Shin Ultraman,6.6,"The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!",2022-05-13,Action,"['Hajime Yamazaki', 'Takumi Saito', 'Ryo Iwamatsu', 'Kyusaku Shimada', 'Tôru Masuoka']",112,Japan,"['Tsuburaya Productions', 'Toho Company, Ltd.', 'Cine Bazar', 'Studio Khara']",https://cineb.to/movie/watch-shin-ultraman-free-89314
Sheltering Season,4.5,A woman finds herself isolated in her remote home with her brother who is seeking forgiveness for the darkest moment in their family history.,2022-10-14,Thriller,"['Teach Grant', 'Juan Riedinger', 'Bradley Stryker', 'Sharon Taylor', 'Aleks Paunovic']",80,Canada,['Filmoption International'],https://cineb.net/movie/watch-sheltering-season-free-89311
Mid-Love Crisis,5.5,"The week of her 50th birthday, Mindy, a divorced teacher, is going through a bonafide mid-life crisis as she prepares to host a long weekend at the lake with former boyfriend Sam, ex-husband Marc, and daughter Rita and her girlfriend Emily. In the process, Mindy begins to discover what it is she truly wants as she gets ready to start the next chapter.",2022-10-09,TV Movie,"['Teri Hatcher', 'Kirsten Robek', 'Brian Cyburt', 'Brian Markinson', 'Andy Yu']",84,Canada,['Lighthouse Pictures'],https://cineb.net/movie/watch-mid-love-crisis-free-89308
Mantra,3.9,A young man who is haunted by his murdered brother turns to a psychiatrist whose unorthodox treatment twists his world even further.,2022-10-11,Thriller,"['Maisy Kay', 'Dan Franklin', 'Angela Griswold', 'Frank Romeo', 'Drake Rodger']",103,United States of America,['Untamed River Media and Productions'],https://cineb.net/movie/watch-mantra-free-89305
Batman and Superman: Battle of the Super Sons,6.7,"After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.",2022-10-17,Animation,"['Nolan North', 'Travis Willingham', 'Laura Bailey', 'Darin De Paul', 'Myrna Velasco']",79,United States of America,"['DC Entertainment', 'Warner Bros. Animation']",https://cineb.net/movie/watch-batman-and-superman-battle-of-the-super-sons-free-89302
Run,4.4,"Jerome becomes a street cop in hopes to find his mother but also seeks love in the mist, that may turn into a tragedy.",2021-02-14,Romance,"['Eduardo Pulido', 'Ariel Jackson', 'Millicent Reid', 'Jahmar Hill', 'LaToya Ward']",89,United States of America,['Jahmar Hill Productions'],https://cineb.net/movie/watch-run-free-89299
In the Afternoon Shade,6.9,"A seemingly ordinary day in the life of Quentin, a Parisian film-lover. After going to the cinema twice, he runs into a former college friend, listens to a girls' conversation in a bar, then goes and meet his best friend, has a beer, and ends up spending the evening in the Parc Montsouris, where he meets Lise.",2022-01-28,Drama,"['Quentin Dolmaire', 'Salif Cissé', 'Maya Ernest', 'Clotilde Parlos', 'Marie Rosselet-Ruiz']",33,France,[],https://cineb.to/movie/watch-in-the-afternoon-shade-free-89296
"Lyle, Lyle, Crocodile",6.5,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",2022-10-07,Comedy,"['Constance Wu', 'Sal Viscuso', 'Shawn Mendes', 'Elijahawon Perrin', 'Lindsey Moser']",106,United States of America,"['Speck Gordon', 'Hutch Parker Entertainment']",https://cineb.net/movie/watch-lyle-lyle-crocodile-free-89293
Bitcon,5.5,A missing hard drive with hundreds of thousands of dollars in cryptocurrency and the issue of trust in the modern era.,2022-10-18,Crime,"['Noah Anderson', 'Ella Ma', 'Jeremy Davies', 'Frank Whaley', 'Craig muMs Grant']",94,United States of America,['Propellant Films'],https://cineb.net/movie/watch-bitcon-free-89290
The Loneliest Boy in the World,6.2,"After losing his mother, a lonely boy decides to (literally) dig up some new friends, but when they mysteriously come back to life, he’s launched into a series of misadventures as he tries to keep their secret safe from neighbors, classmates and social workers alike.",2022-10-14,Comedy,"['Hero Fiennes Tiffin', 'Hammed Animashaun', 'Tallulah Haddon', 'Sam Coleman', 'Ashley Benson']",90,United States of America,"['Future Artists Entertainment', 'Great Point Media']",https://cineb.net/movie/watch-the-loneliest-boy-in-the-world-free-89287
Gabriel Iglesias: Stadium Fluffy,7.5,"Gabriel “Fluffy” Iglesias makes history as the first comedian to perform at Dodger Stadium in his new special Stadium Fluffy: Live From Los Angeles. Filmed at Netflix Is a Joke: The Festival, Gabriel hilariously shares details about being a Los Angeles native, a recent attempt at extortion towards him, and where he holds the record for receiving the highest fine on stage.",2022-10-18,Comedy,['Gabriel Iglesias'],115,United States of America,[],https://cineb.net/movie/watch-gabriel-iglesias-stadium-fluffy-free-89284
The Paloni Show! Halloween Special!,6.2,"Leroy, Reggie and Cheruce Paloni host a Halloween special full of spooky shorts from a group of up-and-coming animators.",2022-10-17,Comedy,"['Kari Wahlgren', 'Zach Hadel', 'Pamela Adlon', 'Justin Roiland', 'Vatche Panos']",62,United States of America,['20th Television Animation'],https://cineb.net/movie/watch-the-paloni-show-halloween-special-free-89275
Two Witches,4.7,"A matriarchal witch passes on her sinister inheritance to her grand-daughter, triggering the most horrific curses.",2022-11-17,Horror,"['Rebekah Kennedy', 'Ian Michaels', 'Emma Wilde', 'Julien Marlon Samani', 'Jacob DeMonte-Finn']",95,United States of America,"['Incubofilms', 'The Rancon Company']",https://cineb.net/movie/watch-two-witches-free-89272
The Shoplifting Pact,5.3,"After being home-schooled, Sky can't wait to get back into the high school experience and make some friends. But, when her new gang seems to prefer shoplifting to hanging out, Sky wonders whether she's fallen in with the wrong crowd.",2022-10-13,Thriller,[],89,None,[],https://cineb.net/movie/watch-the-shoplifting-pact-free-89269
Where Are You,N/A,"A photographer suffering under artist decline begins taking out his aggression on his girlfriend. When she disappears, he enters his subconscious, descending down a spiral of mystery and madness on his search for her, as well as himself.",2022-10-21,Thriller,"['Brad Greenquist', 'Madeline Brewer', 'Ray Nicholson', 'Mickey Sumner', 'Rita Taggart']",94,United States of America,['Carte Blanche'],https://cineb.net/movie/watch-where-are-you-free-89422
The Domestic,N/A,"An upper-class couple hire the daughter of their recently deceased housekeeper as their new helper, only for things to take a dark and macabre turn when she tries to destroy them from within.",2022-10-21,Thriller,['Amanda Du-Pont.'],110,South Africa,['Mandeville Films'],https://cineb.to/movie/watch-the-domestic-free-89413
A Chance Encounter,N/A,"In the Sicilian town of Taormina, Italy, an aspiring writer in search of inspiration meets a folk singer trying to write a follow up to her breakout hit. Their chemistry sparks collaboration, challenging each other to express their thorniest secrets.",2022-10-28,Drama,"['Vincenzo Vivenzio', 'Kenny Burns', 'Jason Edwards', 'Kyle Brunick', 'Michele Scimone']",91,United States of America,['Bespoke Works'],https://cineb.net/movie/watch-a-chance-encounter-free-89404
V/H/S/99,N/A,A teenager’s home video leads to a series of horrifying revelations.,2022-09-15,Horror,"['Jackson Kelly', 'Verona Blue', 'Archelaus Crisanto', 'Tyler Lofton', 'Alexia Ioannides']",99,United States of America,"['Bloody Disgusting', 'Radio Silence', 'Studio 71', 'Cinepocalypse']",https://cineb.net/movie/watch-vhs99-free-89401
Raymond & Ray,N/A,"Half brothers Raymond and Ray reunite when their estranged father dies—and discover that his final wish was for them to dig his grave. Together, they process who they’ve become as men, both because of their father and in spite of him.",2022-10-14,Drama,"['Gina Jun', 'Sophie Okonedo', 'Vondie Curtis-Hall', 'Lyeneal Griffin', 'Chris Grabher']",106,United States of America,"['Esperanto Filmoj', 'Apple Inc.', 'Mockingbird Pictures']",https://cineb.net/movie/watch-raymond-ray-free-89395
Millie Lies Low,N/A,"A panic attack causes Millie to miss her flight to New York. Everyone thinks she’s made it though, thanks to her fake Instagram posts from the “Big Apple”. A tragicomic hunt for a new ticket ensues, as she attempts to beat the clock, her fears and the truth.",2022-07-21,Drama,"['Sam Cotton', 'Chris Alosio', 'Cohen Holloway', 'Alice May Connolly', 'Ana Scotney']",100,New Zealand,"['Sandy Lane Productions', 'Lie Low Limited']",https://cineb.net/movie/watch-millie-lies-low-free-89392
Matriarch,N/A,"Afflicted with a mysterious disease after surviving an overdose, a woman returns to her childhood home to confront her personal demons but instead discovers a real one.",2022-10-11,Horror,"['Clare Barrett', 'Kate Lynn Evans', 'Nick Haverson', 'Simon Meacock', 'Frances Ashman']",85,United States of America,"['20th Digital Studio', 'Sharp House']",https://cineb.net/movie/watch-matriarch-free-89389
Dangerous Game: The Legacy Murders,N/A,A family reunion at a remote mansion takes a lethal turn when they are trapped inside and forced to play a deadly survival game where only one will make it out alive.,2022-10-21,Thriller,"['Skyler Shaye', 'Will Sasso', 'Dylan Playfair', 'Jonathan Rhys Meyers', 'Megan Charpentier']",96,Canada,"['Front Street Pictures', 'Gaming Danger Productions', 'SP Media Group']",https://cineb.net/movie/watch-dangerous-game-the-legacy-murders-free-89383
Claydream,N/A,"A modern day Walt Disney, Will Vinton picked up a ball of clay and saw a world of potential. Known as the “Father of Claymation,” Vinton revolutionized the animation business during the 80s and 90s. But after 30 years of being the unheralded king of clay, Will Vinton’s carefully sculpted American dream came crumbling down.  Structured around interviews with this charismatic pioneer and his close collaborators, the film charts the rise and fall of the Academy Award and Emmy winning Will Vinton Studios.",2022-08-05,Documentary,"['Michele Mariana', 'Melissa Mitchell', 'Peter Lord', 'Webster Colcord', 'Chris Ohlgren']",96,United States of America,"['Starburns Industries', 'The McCaw', 'XYZ Films']",https://cineb.to/movie/watch-claydream-free-89380
The Book of Delights,6.4,"The film brings Clarice Lispector’s novel Uma Aprendizagem ou O Livro dos Prazeres to the current days. In the plot, Lóri is a lonely and melancholic woman. She divides her time between her duties as a school teacher and her relationships, which are always fast and shallow. By chance, she meets Ulisses, an acknowledged Philosophy professor, who is self centered and provocative. Although he knows nothing about women, Lóri learns with him how to love and to face her own loneliness.",2020-10-22,Drama,"['Javier Drolas', 'Leandra Leal', 'Ana Carbatti', 'Julia Leal Youssef', 'Martha Nowill']",99,Brazil,"['República Pureza Filmes', 'Cinematográfica Marcela', 'Rizoma Films', 'Big Bonsai']",https://cineb.net/movie/watch-the-book-of-delights-free-89356
The Rebellious Life of Mrs. Rosa Parks,7.5,"Beyond her historic role in the Montgomery Bus Boycott, this comprehensive dive into Civil Rights icon Rosa Parks sheds light on her extensive organizing, radical politics, and lifelong dedication to activism.",2022-06-16,Documentary,"['Bryan Stevenson', 'Patrisse Cullors', 'Ericka Huggins', 'Rosa Parks']",96,United States of America,"[""SO'B Productions""]",https://cineb.net/movie/watch-the-rebellious-life-of-mrs-rosa-parks-free-89353
Bosch & Rockit,7.7,"As Rockit grapples to understand why his Mum’s not coming home, he embarks on a magical holiday with his father, Bosch, only to discover they’re actually running from the law. Rockit finds a soulmate and then teenage love with Ash Ash, but it’s the ocean that gives him the security and calm he yearns from his parents. Ultimately Rockit is a boy nurtured and held by nature.",2022-08-18,Drama,"['Savannah La Rain', 'Leeanna Walsman', 'Luke Hemsworth', 'Martin Sacks', 'Isabel Lucas']",105,Australia,"['Black Pearl Productions', 'Sunshine Bear Films']",https://cineb.net/movie/watch-bosch-rockit-free-89350
Usogui,5.8,"Madarame Baku is a mysterious gambler. His nickname is Usogui (literally The Lie Eater). Club Kakerou is the top illegal gambling den, where gamblers vie to become the best in their profession. Seeing through the lies of others, Madarame Baku challenges a variety of high stakes games at Club Kakerou.",2022-02-11,Thriller,"['Shohei Miura', 'Kanata Hongo', 'Mai Shiraishi', 'Kaito Sakurai', 'Hayato Sano']",119,Japan,['Warner Bros. Japan'],https://cineb.net/movie/watch-usogui-free-89341
The Game,7.2,"During the Cold War, the secret service of Kádár began a more dangerous state security game than ever before.",2022-06-09,Drama,"['Ákos Orosz', 'Zsolt Nagy', 'Viktória Staub', 'Péter Scherer', 'János Kulka']",112,Hungary,['Film Positive Productions'],https://cineb.net/movie/watch-the-game-free-89338
Nostalgia,6.7,"Felice Lasco returns to the Sanità district to look after his sick and dying mother after 45 years spent between the Middle East and Africa. In Naples he waits to meet Oreste, a friend of the past, who has become a criminal.",2022-09-13,Drama,"['Nello Mascia', 'Emanuele Palumbo', 'Tommaso Ragno', 'Daniela Ioia', 'Artem Tkachuk']",117,Italy,"['Mad Entertainment', 'Medusa Film', 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'Picomedia', 'Rosebud Entertainment Pictures']",https://cineb.net/movie/watch-nostalgia-free-89335
The School for Good and Evil,5.8,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,2022-10-19,Fantasy,"['Michelle Yeoh', 'Charlize Theron', 'Kit Young', 'Sofia Wylie', 'Briony Scarlett']",146,United States of America,['Feigco Entertainment'],https://cineb.net/movie/watch-the-school-for-good-and-evil-free-89332
The Stranger,6.6,"Two men who meet on a bus and strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true.",2022-09-30,Crime,"['Alan Dukes', 'Simon Elrahi', 'Fletcher Humphrys', 'Joel Edgerton', 'Jada Alberts']",117,Australia,"['South Australian Film Corporation', 'See-Saw Films', 'Screen Australia', 'Anonymous Content']",https://cineb.net/movie/watch-the-stranger-free-89329
Mama's Boy,7.5,"Traveling back to the places where he grew up, Dustin Lance Black explores his childhood roots, gay identity and close relationship with his mother, who overcame childhood polio, abusive marriages and Mormon dogma, while becoming Black’s emotional rock and, ultimately, the inspiration for his activism. With a wealth of personal photographs and candid memories from Black’s family, colleagues, and friends, this documentary embraces the personal to tell a universally hopeful tale of resilience and reconciliation through the power of love and shared stories.",2022-10-18,Documentary,"['Dustin Lance Black', 'Paris Barclay', 'Tom Daley']",102,United States of America,"['Nedland Media', 'Playtone', 'Liddell Entertainment', 'Amblin Television']",https://cineb.net/movie/watch-mamas-boy-free-89326
Shin Ultraman,6.6,"The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!",2022-05-13,Action,"['Hajime Yamazaki', 'Takumi Saito', 'Ryo Iwamatsu', 'Kyusaku Shimada', 'Tôru Masuoka']",112,Japan,"['Tsuburaya Productions', 'Toho Company, Ltd.', 'Cine Bazar', 'Studio Khara']",https://cineb.net/movie/watch-shin-ultraman-free-89314
Sheltering Season,4.5,A woman finds herself isolated in her remote home with her brother who is seeking forgiveness for the darkest moment in their family history.,2022-10-14,Thriller,"['Teach Grant', 'Juan Riedinger', 'Bradley Stryker', 'Sharon Taylor', 'Aleks Paunovic']",80,Canada,['Filmoption International'],https://cineb.net/movie/watch-sheltering-season-free-89311
Mid-Love Crisis,5.5,"The week of her 50th birthday, Mindy, a divorced teacher, is going through a bonafide mid-life crisis as she prepares to host a long weekend at the lake with former boyfriend Sam, ex-husband Marc, and daughter Rita and her girlfriend Emily. In the process, Mindy begins to discover what it is she truly wants as she gets ready to start the next chapter.",2022-10-09,TV Movie,"['Teri Hatcher', 'Kirsten Robek', 'Brian Cyburt', 'Brian Markinson', 'Andy Yu']",84,Canada,['Lighthouse Pictures'],https://cineb.net/movie/watch-mid-love-crisis-free-89308
Mantra,3.9,A young man who is haunted by his murdered brother turns to a psychiatrist whose unorthodox treatment twists his world even further.,2022-10-11,Thriller,"['Maisy Kay', 'Dan Franklin', 'Angela Griswold', 'Frank Romeo', 'Drake Rodger']",103,United States of America,['Untamed River Media and Productions'],https://cineb.net/movie/watch-mantra-free-89305
Batman and Superman: Battle of the Super Sons,6.7,"After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.",2022-10-17,Animation,"['Nolan North', 'Travis Willingham', 'Laura Bailey', 'Darin De Paul', 'Myrna Velasco']",79,United States of America,"['DC Entertainment', 'Warner Bros. Animation']",https://cineb.to/movie/watch-batman-and-superman-battle-of-the-super-sons-free-89302
Run,4.4,"Jerome becomes a street cop in hopes to find his mother but also seeks love in the mist, that may turn into a tragedy.",2021-02-14,Romance,"['Eduardo Pulido', 'Ariel Jackson', 'Millicent Reid', 'Jahmar Hill', 'LaToya Ward']",89,United States of America,['Jahmar Hill Productions'],https://cineb.net/movie/watch-run-free-89299
In the Afternoon Shade,6.9,"A seemingly ordinary day in the life of Quentin, a Parisian film-lover. After going to the cinema twice, he runs into a former college friend, listens to a girls' conversation in a bar, then goes and meet his best friend, has a beer, and ends up spending the evening in the Parc Montsouris, where he meets Lise.",2022-01-28,Drama,"['Quentin Dolmaire', 'Salif Cissé', 'Maya Ernest', 'Clotilde Parlos', 'Marie Rosselet-Ruiz']",33,France,[],https://cineb.net/movie/watch-in-the-afternoon-shade-free-89296
"Lyle, Lyle, Crocodile",6.5,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",2022-10-07,Comedy,"['Constance Wu', 'Sal Viscuso', 'Shawn Mendes', 'Elijahawon Perrin', 'Lindsey Moser']",106,United States of America,"['Speck Gordon', 'Hutch Parker Entertainment']",https://cineb.net/movie/watch-lyle-lyle-crocodile-free-89293
Bitcon,5.5,A missing hard drive with hundreds of thousands of dollars in cryptocurrency and the issue of trust in the modern era.,2022-10-18,Crime,"['Noah Anderson', 'Ella Ma', 'Jeremy Davies', 'Frank Whaley', 'Craig muMs Grant']",94,United States of America,['Propellant Films'],https://cineb.net/movie/watch-bitcon-free-89290
The Loneliest Boy in the World,6.2,"After losing his mother, a lonely boy decides to (literally) dig up some new friends, but when they mysteriously come back to life, he’s launched into a series of misadventures as he tries to keep their secret safe from neighbors, classmates and social workers alike.",2022-10-14,Comedy,"['Hero Fiennes Tiffin', 'Hammed Animashaun', 'Tallulah Haddon', 'Sam Coleman', 'Ashley Benson']",90,United States of America,"['Future Artists Entertainment', 'Great Point Media']",https://cineb.net/movie/watch-the-loneliest-boy-in-the-world-free-89287
Gabriel Iglesias: Stadium Fluffy,7.5,"Gabriel “Fluffy” Iglesias makes history as the first comedian to perform at Dodger Stadium in his new special Stadium Fluffy: Live From Los Angeles. Filmed at Netflix Is a Joke: The Festival, Gabriel hilariously shares details about being a Los Angeles native, a recent attempt at extortion towards him, and where he holds the record for receiving the highest fine on stage.",2022-10-18,Comedy,['Gabriel Iglesias'],115,United States of America,[],https://cineb.net/movie/watch-gabriel-iglesias-stadium-fluffy-free-89284
The Paloni Show! Halloween Special!,6.2,"Leroy, Reggie and Cheruce Paloni host a Halloween special full of spooky shorts from a group of up-and-coming animators.",2022-10-17,Comedy,"['Kari Wahlgren', 'Zach Hadel', 'Pamela Adlon', 'Justin Roiland', 'Vatche Panos']",62,United States of America,['20th Television Animation'],https://cineb.net/movie/watch-the-paloni-show-halloween-special-free-89275
Two Witches,4.7,"A matriarchal witch passes on her sinister inheritance to her grand-daughter, triggering the most horrific curses.",2022-11-17,Horror,"['Rebekah Kennedy', 'Ian Michaels', 'Emma Wilde', 'Julien Marlon Samani', 'Jacob DeMonte-Finn']",95,United States of America,"['Incubofilms', 'The Rancon Company']",https://cineb.net/movie/watch-two-witches-free-89272
The Shoplifting Pact,5.3,"After being home-schooled, Sky can't wait to get back into the high school experience and make some friends. But, when her new gang seems to prefer shoplifting to hanging out, Sky wonders whether she's fallen in with the wrong crowd.",2022-10-13,Thriller,[],89,None,[],https://cineb.net/movie/watch-the-shoplifting-pact-free-89269
