Title,Address,Rent Price,Surface,Rooms,Interior Status,Agency,Contact,Link
Apartment Victorieplein,1079 KM Amsterdam (Scheldebuurt),"3,250 ",110 ,4 ,Upholstered,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/apartment-for-rent/amsterdam/c8bb788e/victorieplein
Studio Westerstraat,1015 ML Amsterdam (Jordaan),"1,350 ",30 ,1 room,Upholstered,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/studio-for-rent/amsterdam/32a42cdf/westerstraat
Apartment Zuid-Hollandstraat 62 2,1082 EL Amsterdam (Buitenveldert-West),"1,950 ",75 ,4 ,Furnished,EarthRock Housing,+31610293735,https://www.pararius.com/apartment-for-rent/amsterdam/66ed806f/zuid-hollandstraat
Apartment Hemonylaan,1074 BE Amsterdam (Oude Pijp),"2,075 ",58 ,3 ,Upholstered,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/apartment-for-rent/amsterdam/8def7889/hemonylaan
Apartment Driehoekstraat 36,1015 GL Amsterdam (Jordaan),"1,850 ",50 ,2 ,Furnished,EHR Amsterdam,+31202082107,https://www.pararius.com/apartment-for-rent/amsterdam/d89a4d21/driehoekstraat
Apartment Van Woustraat 68 2,1073 LN Amsterdam (Oude Pijp),"2,450 ",59 ,3 ,Upholstered or furnished,Huizenbalie.nl,+31851309111,https://www.pararius.com/apartment-for-rent/amsterdam/25a42e01/van-woustraat
Apartment Keizersgracht,1017 DT Amsterdam (Grachtengordel-Zuid),"2,950 ",91 ,2 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/b9ce6881/keizersgracht
Apartment Juliana van Stolbergstraat,1055 RM Amsterdam (Landlust),"1,750 ",52 ,3 ,Furnished,NEWCURB Makelaars,+31852007840,https://www.pararius.com/apartment-for-rent/amsterdam/6141cf94/juliana-van-stolbergstraat
Apartment Sarphatipark 133 2,1073 CX Amsterdam (Oude Pijp),"1,850 ",70 ,3 ,Upholstered,Koops Makelaardij Amsterdam,+31208208772,https://www.pararius.com/apartment-for-rent/amsterdam/9d6ea1c8/sarphatipark
Apartment Nieuwe Vijzelstraat,1017 HT Amsterdam (De Weteringschans),"2,350 ",80 ,2 ,Undefined,Van Maarschalkerwaart Makelaars,+31205721111,https://www.pararius.com/apartment-for-rent/amsterdam/e7715c18/nieuwe-vijzelstraat
Apartment Bosboom Toussaintstraat,1054 AV Amsterdam (Helmersbuurt),"1,950 ",70 ,4 ,Upholstered,Klok Real Estate,+31206737056,https://www.pararius.com/apartment-for-rent/amsterdam/363c85bd/bosboom-toussaintstraat
Apartment Singel,1015 AG Amsterdam (Grachtengordel-West),"4,000 ",108 ,3 ,Furnished,Expat Rentals Amsterdam,+31202440876,https://www.pararius.com/apartment-for-rent/amsterdam/41f0f06a/singel
Apartment Olympiaplein,1077 CP Amsterdam (Apollobuurt),"3,250 ",121 ,4 ,Upholstered,City Homes,+31206250071,https://www.pararius.com/apartment-for-rent/amsterdam/162e1282/olympiaplein
Apartment Bella Vistastraat,1096 GM Amsterdam (Omval/Overamstel),"3,000 ",113 ,4 ,Furnished,Expat Rentals Amsterdam,+31202440876,https://www.pararius.com/apartment-for-rent/amsterdam/957e737b/bella-vistastraat
Apartment Prinseneiland,1013 LL Amsterdam (Haarlemmerbuurt),"3,000 ",94 ,3 ,Furnished,Expat Rentals Amsterdam,+31202440876,https://www.pararius.com/apartment-for-rent/amsterdam/2e9672c3/prinseneiland
Apartment Montelbaanstraat,1011 EG Amsterdam (Nieuwmarkt/Lastage),"2,250 ",86 ,4 ,Upholstered,Keizerskroon makelaars,+31204202222,https://www.pararius.com/apartment-for-rent/amsterdam/f055e392/montelbaanstraat
Apartment Van Leijenberghlaan 195,1082 GD Amsterdam (Buitenveldert-Oost),"2,175 ",113 ,4 ,Upholstered,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/49783061/van-leijenberghlaan
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Kerkstraat,1017 HW Amsterdam (Grachtengordel-Zuid),"5,000 ",120 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/221da4b2/kerkstraat
Apartment Geuzenstraat,1056 KA Amsterdam (Geuzenbuurt),"1,950 ",55 ,3 ,Furnished,Housing Experts,+31618138902,https://www.pararius.com/apartment-for-rent/amsterdam/b741f136/geuzenstraat
Studio Uiterwaardenstraat,1079 CE Amsterdam (Rijnbuurt),"1,449 ",37 ,1 room,Furnished,HouseHunting Randstad,+31307210909,https://www.pararius.com/studio-for-rent/amsterdam/5ee9ac79/uiterwaardenstraat
Apartment Fokke Simonszstraat,1017 TK Amsterdam (De Weteringschans),"1,800 ",44 ,2 ,Upholstered,BIC Makelaardij,+31207757904,https://www.pararius.com/apartment-for-rent/amsterdam/95cfb9c2/fokke-simonszstraat
Apartment Bestevâerstraat,1055 TK Amsterdam (Landlust),"1,750 ",60 ,2 ,Upholstered or furnished,Woonmarkt Amsterdam,+31207006671,https://www.pararius.com/apartment-for-rent/amsterdam/bebf5c94/bestevaerstraat
Apartment Nassaukade 375 2,1054 AC Amsterdam (Helmersbuurt),"1,950 ",70 ,2 ,Upholstered,Amsterdam Wonen,+31202440146,https://www.pararius.com/apartment-for-rent/amsterdam/25fee49d/nassaukade
Apartment Beemsterstraat 546 a8,1024 BV Amsterdam (Waterlandpleinbuurt),995 ,66 ,2 ,Upholstered,Heimstaden,+31207230920,https://www.pararius.com/apartment-for-rent/amsterdam/fa96bd38/beemsterstraat
Apartment Marie Heinekenplein 508,1072 ML Amsterdam (Oude Pijp),"2,500 ",90 ,3 ,Furnished,Renthouse Vastgoed,+31203030609,https://www.pararius.com/apartment-for-rent/amsterdam/a2735398/marie-heinekenplein
Apartment Stadhouderskade 88 H,1073 AV Amsterdam (Oude Pijp),"2,400 ",65 ,3 ,Undefined,Rappange Makelaardij,+31206240363,https://www.pararius.com/apartment-for-rent/amsterdam/694c4e68/stadhouderskade
Apartment Westerdoksdijk 291,1013 AD Amsterdam (Haarlemmerbuurt),"2,250 ",69 ,3 ,Furnished,Amsterdam Housing,+31206717266,https://www.pararius.com/apartment-for-rent/amsterdam/a65dddf1/westerdoksdijk
Apartment Curaçaostraat,1058 BN Amsterdam (Westindische Buurt),"2,100 ",59 ,3 ,Upholstered,BIC Makelaardij,+31207757904,https://www.pararius.com/apartment-for-rent/amsterdam/bd04f5a8/curacaostraat
Apartment Cornelis Vermuydenstraat,1018 RN Amsterdam (Oostelijke Eilanden/Kadijken),"2,200 ",75 ,3 ,Furnished,Valkenet Vastgoed,+31302072739,https://www.pararius.com/apartment-for-rent/amsterdam/ae35d2b1/cornelis-vermuydenstraat
Apartment Wilhelminastraat,1054 WJ Amsterdam (Helmersbuurt),"2,250 ",51 ,3 ,Undefined,ME Makelaars BV,+31206625522,https://www.pararius.com/apartment-for-rent/amsterdam/c5d68363/wilhelminastraat
Apartment Eerste Nassaustraat,1052 BH Amsterdam (Staatsliedenbuurt),"2,600 ",100 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/62d9b0fb/eerste-nassaustraat
Apartment Brachthuijzerstraat 1 I,1075 EN Amsterdam (Willemspark),"2,200 ",80 ,3 ,Upholstered,House of Rentals,+31207609300,https://www.pararius.com/apartment-for-rent/amsterdam/e2bc376d/brachthuijzerstraat
Apartment Govert Flinckstraat,1072 EL Amsterdam (Oude Pijp),"2,450 ",91 ,3 ,Upholstered,123Wonen Amsterdam,+31202246050,https://www.pararius.com/apartment-for-rent/amsterdam/8164fcd4/govert-flinckstraat
Apartment Wilhelminastraat 81 III,1054 VX Amsterdam (Overtoomse Sluis),"2,750 ",125 ,3 ,Furnished,Expat Rentals,+31204700749,https://www.pararius.com/apartment-for-rent/amsterdam/00360a41/wilhelminastraat
Apartment Amstelveenseweg,1081 JN Amsterdam (Buitenveldert-West),"3,000 ",99 ,3 ,Furnished,Heeren Makelaars B.V.,+31204702255,https://www.pararius.com/apartment-for-rent/amsterdam/e2b33444/amstelveenseweg
Apartment Keizersgracht,1015 CN Amsterdam (Grachtengordel-West),"2,800 ",109 ,3 ,Furnished,Keizerskroon makelaars,+31204202222,https://www.pararius.com/apartment-for-rent/amsterdam/b2fb4005/keizersgracht
Apartment Eerste Weteringdwarsstraat,1017 TM Amsterdam (De Weteringschans),"2,450 ",60 ,3 ,Furnished,Koops Makelaardij Amsterdam,+31208208947,https://www.pararius.com/apartment-for-rent/amsterdam/27603927/eerste-weteringdwarsstraat
House Kerstomaatplantsoen,"1104 VE Amsterdam (Bijlmer Oost (E,G,K))","1,950 ",107 ,4 ,Upholstered or furnished,HB Housing,+31206170379,https://www.pararius.com/house-for-rent/amsterdam/f24ee148/kerstomaatplantsoen
Apartment Willem Schoutenstraat 35,1057 DL Amsterdam (Hoofdweg e.o.),"1,850 ",65 ,3 ,Upholstered,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/123bd2bb/willem-schoutenstraat
Apartment Van Ostadestraat,1072 SW Amsterdam (Nieuwe Pijp),"2,450 ",69 ,3 ,Furnished,"Interhouse verhuurmakelaars Amsterdam,                                                                                 Amsterdam Housing",+31208450527,https://www.pararius.com/apartment-for-rent/amsterdam/15c034a3/van-ostadestraat
Apartment Haringvlietstraat 15 I,1078 JZ Amsterdam (Scheldebuurt),"2,500 ",91 ,5 ,Upholstered,Hoen Makelaars,+31203054444,https://www.pararius.com/apartment-for-rent/amsterdam/ce736577/haringvlietstraat
Apartment Roerstraat 69,1078 LK Amsterdam (Scheldebuurt),"1,900 ",70 ,3 ,Upholstered,JLG Real Estate,+31203300031,https://www.pararius.com/apartment-for-rent/amsterdam/8ceb716e/roerstraat
Apartment Kloveniersburgwal,1011 JX Amsterdam (Nieuwmarkt/Lastage),"2,595 ",100 ,2 ,Upholstered,Keij & Stefels Makelaars en Taxateurs,+31205775333,https://www.pararius.com/apartment-for-rent/amsterdam/3e35e70e/kloveniersburgwal
Apartment Stadionkade 1 2,1077 VG Amsterdam (Apollobuurt),"2,500 ",106 ,5 ,Undefined,Jaap Admiraal makelaardij B.V.,+31203790900,https://www.pararius.com/apartment-for-rent/amsterdam/882eecef/stadionkade
House Akkerdistelstraat 4,1031 JZ Amsterdam (Noordelijke IJ-oevers West),"2,750 ",203 ,7 ,Furnished,Makelaarskantoor Carla van den Brink,+31206717272,https://www.pararius.com/house-for-rent/amsterdam/74ad65d9/akkerdistelstraat
Apartment Kinkerstraat,1053 DR Amsterdam (Van Lennepbuurt),"2,500 ",70 ,3 ,Upholstered or furnished,Visch & Van Zeggelaar Amsterdam,+31202091911,https://www.pararius.com/apartment-for-rent/amsterdam/68ebfc51/kinkerstraat
Apartment Gerard Doustraat,1073 XA Amsterdam (Oude Pijp),"2,000 ",56 ,2 ,Furnished,Jaap In Huren,+31641055871,https://www.pararius.com/apartment-for-rent/amsterdam/10525dc6/gerard-doustraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Commelinstraat,1093 TR Amsterdam (Dapperbuurt),"2,450 ",70 ,3 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/1422f582/commelinstraat
Apartment Jacques Oppenheimstraat,1063 PS Amsterdam (Slotermeer-Zuidwest),"1,950 ",70 ,4 ,Undefined,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/9fe8afba/jacques-oppenheimstraat
Apartment Krombekstraat,"1104 KT Amsterdam (Bijlmer Oost (E,G,K))","1,850 ",65 ,2 ,Upholstered,Batenburg Real Estate,+31625275030,https://www.pararius.com/apartment-for-rent/amsterdam/e34cfac5/krombekstraat
Apartment Tweede Kostverlorenkade 24 III,1053 TP Amsterdam (Kinkerbuurt),"2,100 ",72 ,3 ,Furnished,Amsterdam Housing,+31206717266,https://www.pararius.com/apartment-for-rent/amsterdam/8cdd1bcf/tweede-kostverlorenkade
Apartment Vondelkerkstraat,1054 KZ Amsterdam (Overtoomse Sluis),"4,000 ",120 ,4 ,Upholstered,Prestige Housing,+31644992122,https://www.pararius.com/apartment-for-rent/amsterdam/807be7f6/vondelkerkstraat
Apartment Paramaribostraat 35 III,1058 VG Amsterdam (Westindische Buurt),"1,975 ",50 ,2 ,Furnished,Makelaarshuis Amsterdam - Zaanstad,+31650566505,https://www.pararius.com/apartment-for-rent/amsterdam/36f7ebf3/paramaribostraat
Apartment Sint Nicolaasstraat 2 B,1012 NK Amsterdam (Burgwallen-Nieuwe Zijde),"2,500 ",100 ,4 ,Upholstered,HousingNet,+31207601500,https://www.pararius.com/apartment-for-rent/amsterdam/13b33ac8/sint-nicolaasstraat
Apartment Sprinklerstraat,1019 VR Amsterdam (Indische Buurt Oost),"2,500 ",94 ,3 ,Furnished,Inter Immo Amsterdam,+31203317567,https://www.pararius.com/apartment-for-rent/amsterdam/05b5d09d/sprinklerstraat
House Bloemgracht 172,1015 TV Amsterdam (Jordaan),"6,000 ",202 ,8 ,Upholstered,Amsterdam Wonen,+31202440146,https://www.pararius.com/house-for-rent/amsterdam/e040bfd3/bloemgracht
Apartment Rijswijkstraat 151 B,1062 ES Amsterdam (Westlandgracht),"1,250 ",52 ,2 ,Upholstered,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/9a280d3b/rijswijkstraat
Apartment Pieter Calandlaan,1069 SC Amsterdam (Osdorp-Midden),"1,750 ",90 ,3 ,Furnished,HB Housing,+31206170379,https://www.pararius.com/apartment-for-rent/amsterdam/d8647f23/pieter-calandlaan
Apartment Rustenburgerstraat 146 A22,1073 GJ Amsterdam (Nieuwe Pijp),"2,150 ",55 ,3 ,Furnished,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/apartment-for-rent/amsterdam/112b3b22/rustenburgerstraat
Apartment Groen van Prinstererstraat,1051 EH Amsterdam (Staatsliedenbuurt),"2,400 ",73 ,3 ,Furnished,Compass Housing Amsterdam,+31202440826,https://www.pararius.com/apartment-for-rent/amsterdam/3982ab40/groen-van-prinstererstraat
Apartment Korte Ouderkerkerdijk 1 W2,1096 AC Amsterdam (Omval/Overamstel),"9,950 ",196 ,4 ,Upholstered,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/a94326c9/korte-ouderkerkerdijk
Apartment Dusartstraat,1072 HV Amsterdam (Nieuwe Pijp),"2,500 ",75 ,3 ,Upholstered,Park Real Estate,+31206410712,https://www.pararius.com/apartment-for-rent/amsterdam/e6fcf716/dusartstraat
Apartment Rheastraat 24,1076 DS Amsterdam (Stadionbuurt),"2,750 ",125 ,3 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/a7401bd8/rheastraat
Apartment Tolstraat 42 1,1073 SC Amsterdam (Zuid Pijp),"1,850 ",45 ,2 ,Furnished,Amsterdam Housing,+31206717266,https://www.pararius.com/apartment-for-rent/amsterdam/730c4310/tolstraat
Apartment Gillis van Ledenberchstraat,1052 VG Amsterdam (Frederik Hendrikbuurt),"1,850 ",76 ,3 ,Furnished,Expathousing.com (Amsterdam),+31206622366,https://www.pararius.com/apartment-for-rent/amsterdam/cc9c1dc1/gillis-van-ledenberchstraat
Apartment Banstraat 55 II,1071 JX Amsterdam (Museumkwartier),"2,100 ",75 ,2 ,Upholstered or furnished,Ter Haar Makelaars B.V.,+31205736000,https://www.pararius.com/apartment-for-rent/amsterdam/5ca40c05/banstraat
Apartment Oudezijds Achterburgwal 145 I,1012 DG Amsterdam (Burgwallen-Oude Zijde),"1,975 ",50 ,2 ,Upholstered or furnished,MA Residences,+31203418648,https://www.pararius.com/apartment-for-rent/amsterdam/84921dfd/oudezijds-achterburgwal
Apartment NDSM-pier,1033 RE Amsterdam (Noordelijke IJ-oevers West),"1,740 ",65 ,4 ,Upholstered,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij",+31203017715,https://www.pararius.com/apartment-for-rent/amsterdam/8a64796f/ndsm-pier
Apartment NDSM-pier,1033 RE Amsterdam (Noordelijke IJ-oevers West),"2,450 ",110 ,4 ,Upholstered,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij",+31203017715,https://www.pararius.com/apartment-for-rent/amsterdam/46e24875/ndsm-pier
Apartment NDSM-pier,1033 RE Amsterdam (Noordelijke IJ-oevers West),"3,400 ",129 ,4 ,Upholstered,"FRIS Woningmakelaars Amsterdam,                                                                                 Eefje Voogd Makelaardij",+31203017715,https://www.pararius.com/apartment-for-rent/amsterdam/29597cb1/ndsm-pier
House H. Stolleplantsoen,1022 KK Amsterdam (Elzenhagen),"2,650 ",185 ,7 ,Upholstered,123Wonen Amsterdam,+31202246050,https://www.pararius.com/house-for-rent/amsterdam/d931663c/h-stolleplantsoen
Apartment Keizersgracht 633 A,1017 DS Amsterdam (Grachtengordel-Zuid),"3,400 ",54 ,2 ,Upholstered,Makelaarskantoor Carla van den Brink,+31206717272,https://www.pararius.com/apartment-for-rent/amsterdam/0786997a/keizersgracht
Apartment Herenstraat 4 D,1015 CA Amsterdam (Grachtengordel-West),"1,995 ",55 ,2 ,Furnished,EHR Amsterdam,+31202082107,https://www.pararius.com/apartment-for-rent/amsterdam/2190923e/herenstraat
Apartment Herengracht 449 B,1017 BR Amsterdam (Grachtengordel-Zuid),"3,850 ",200 ,5 ,Upholstered,Amsterdam Wonen,+31202440146,https://www.pararius.com/apartment-for-rent/amsterdam/5f3f0e9f/herengracht
Apartment Alexanderkade,1018 ZC Amsterdam (Oostelijke Eilanden/Kadijken),"2,500 ",102 ,5 ,Furnished,Rotsvast Amsterdam,+31206627662,https://www.pararius.com/apartment-for-rent/amsterdam/47239a2e/alexanderkade
Apartment Johannes Verhulststraat 157 3,1075 GW Amsterdam (Willemspark),"5,500 ",168 ,4 ,Furnished,Consilium BV,+31207512636,https://www.pararius.com/apartment-for-rent/amsterdam/737c6055/johannes-verhulststraat
Apartment Blasiusstraat,1091 CR Amsterdam (Weesperzijde),"2,400 ",66 ,3 ,Furnished,Brixt,+31208545363,https://www.pararius.com/apartment-for-rent/amsterdam/c9a0a938/blasiusstraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Nova Zemblastraat,1013 RJ Amsterdam (Spaarndammer- en Zeeheldenbuurt),"1,950 ",60 ,2 ,Furnished,Interhouse verhuurmakelaars Amsterdam,+31208450527,https://www.pararius.com/apartment-for-rent/amsterdam/3bf6999e/nova-zemblastraat
Apartment Jennerstraat,1097 GB Amsterdam (Frankendael),"2,300 ",108 ,6 ,Undefined,Rebid,/real-estate-agents/amsterdam/rebid,https://www.pararius.com/apartment-for-rent/amsterdam/6eac405d/jennerstraat
Apartment Jacob van Lennepkade,1054 ZT Amsterdam (Overtoomse Sluis),"2,075 ",65 ,2 ,Furnished,Homecrew,/real-estate-agents/amsterdam/homecrew,https://www.pararius.com/apartment-for-rent/amsterdam/cd4508a5/jacob-van-lennepkade
Apartment Lauriergracht 142 A,1016 RT Amsterdam (Jordaan),"2,450 ",53 ,2 ,Furnished,Urban Homies,+31202617463,https://www.pararius.com/apartment-for-rent/amsterdam/3d2c763c/lauriergracht
Apartment Quellijnstraat,1072 XW Amsterdam (Oude Pijp),"1,600 ",39 ,2 ,Shell,The Real Estate Agency,+31202101774,https://www.pararius.com/apartment-for-rent/amsterdam/0c7e1e29/quellijnstraat
Apartment Reguliersdwarsstraat 100 C,1017 BN Amsterdam (Grachtengordel-Zuid),"3,250 ",104 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/6e6d7132/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 98 F,1017 BN Amsterdam (Grachtengordel-Zuid),"2,750 ",85 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/e6812c5e/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 98 D,1017 BN Amsterdam (Grachtengordel-Zuid),"2,950 ",91 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/95d8b5f9/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 100 E,1017 BN Amsterdam (Grachtengordel-Zuid),"2,150 ",65 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/993d502a/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 100 D,1017 BN Amsterdam (Grachtengordel-Zuid),"3,100 ",97 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/e4a3f9af/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 100 F,1017 BN Amsterdam (Grachtengordel-Zuid),"2,150 ",66 ,3 ,Undefined,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/39f4571b/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 98 E,1017 BN Amsterdam (Grachtengordel-Zuid),"2,750 ",85 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/4a22772c/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 98 C,1017 BN Amsterdam (Grachtengordel-Zuid),"2,950 ",92 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/6f1e7636/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 98 B,1017 BN Amsterdam (Grachtengordel-Zuid),"2,950 ",92 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/01569dea/reguliersdwarsstraat
Apartment Reguliersdwarsstraat 98 A,1017 BN Amsterdam (Grachtengordel-Zuid),"2,950 ",92 ,3 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/e0f3cc98/reguliersdwarsstraat
Apartment Plantage Middenlaan,1018 DE Amsterdam (Weesperbuurt/Plantage),"3,000 ",147 ,3 ,Upholstered or furnished,Grand Apartments Amsterdam,+31652047074,https://www.pararius.com/apartment-for-rent/amsterdam/ef8e1c14/plantage-middenlaan
Apartment Van Hogendorpstraat,1051 BT Amsterdam (Staatsliedenbuurt),"1,975 ",45 ,3 ,Undefined,BIC Makelaardij,+31207757904,https://www.pararius.com/apartment-for-rent/amsterdam/8541760f/van-hogendorpstraat
Apartment Van Hogendorpstraat,1051 BT Amsterdam (Staatsliedenbuurt),"1,925 ",45 ,3 ,Upholstered,BIC Makelaardij,+31207757904,https://www.pararius.com/apartment-for-rent/amsterdam/72fa1479/van-hogendorpstraat
Apartment Willem Frederik Hermansstraat 33,1011 DG Amsterdam (Nieuwmarkt/Lastage),"2,350 ",86 ,3 ,Furnished,Dutch Housing Centre BV,+31206621234,https://www.pararius.com/apartment-for-rent/amsterdam/30149785/willem-frederik-hermansstraat
Apartment Fagelstraat 94 3,1052 GJ Amsterdam (Frederik Hendrikbuurt),"2,500 ",92 ,3 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/05ee41b6/fagelstraat
Apartment Leidsekruisstraat,1017 RJ Amsterdam (De Weteringschans),"2,000 ",57 ,3 ,Undefined,Rebid,/real-estate-agents/amsterdam/rebid,https://www.pararius.com/apartment-for-rent/amsterdam/c53f28e4/leidsekruisstraat
Apartment Van Walbeeckstraat,1058 CT Amsterdam (Westindische Buurt),"2,000 ",61 ,3 ,Upholstered,BIC Makelaardij,+31207757904,https://www.pararius.com/apartment-for-rent/amsterdam/15f82e9b/van-walbeeckstraat
